Analog Input 12677,Present value,0,,
Analog Input 12677,Units,kilowatts,,
Analog Input 12679,Object name,0454_AHU11.SFVFD:PID DEVIATE,,
Analog Input 12679,Present value,0,,
Analog Input 12679,Units,percent,,
Analog Input 12687,Object name,0454_AHU11.SFVFD:PID OUT CAP,,
Analog Input 12687,Present value,0,,
Analog Input 12687,Units,percent,,
Analog Input 12688,Object name,0454_AHU11.SFVFD:PID REF,,
Analog Input 12688,Present value,0,,
Analog Input 12688,Units,percent,,
Analog Input 12689,Object name,0454_AHU11.SFVFD:COMM ERR CD,,
Analog Input 12689,Present value,32,,
Analog Input 12689,Units,,,
Analog Input 12699,Object name,0454_AHU11.SFVFD:ERROR STATUS,,
Analog Input 12699,Present value,0,,
Analog Input 12699,Units,,,
Analog Input 12704,Object name,0454_VV-02-05:ROOM TEMP,,
Analog Input 12704,Present value,72.5,,
Analog Input 12704,Units,degrees fahrenheit,,
Analog Input 12713,Object name,0454_VV-02-05:RM STPT DIAL,,
Analog Input 12713,Present value,55,,
Analog Input 12713,Units,degrees fahrenheit,,
Analog Input 12715,Object name,0454_VV-02-05:AUX TEMP,,
Analog Input 12715,Present value,57,,
Analog Input 12715,Units,degrees fahrenheit,,
Analog Input 12735,Object name,0454_VV-02-05:AIR VOLUME,,
Analog Input 12735,Present value,92,,
Analog Input 12735,Units,,,
Analog Input 12804,Object name,0454_FVV-11-01:ROOM TEMP,,
Analog Input 12804,Present value,70.5,,
Analog Input 12804,Units,degrees fahrenheit,,
Analog Input 12813,Object name,0454_FVV-11-01:RM STPT DIAL,,
Analog Input 12813,Present value,55.5,,
Analog Input 12813,Units,degrees fahrenheit,,
Analog Input 12815,Object name,0454_FVV-11-01:AUX TEMP,,
Analog Input 12815,Present value,53.5,,
Analog Input 12815,Units,degrees fahrenheit,,
Analog Input 12835,Object name,0454_FVV-11-01:AIR VOLUME,,
Analog Input 12835,Present value,1500,,
Analog Input 12835,Units,,,
Analog Input 12904,Object name,0454_VV-11-03:ROOM TEMP,,
Analog Input 12904,Present value,72.75,,
Analog Input 12904,Units,degrees fahrenheit,,
Analog Input 12913,Object name,0454_VV-11-03:RM STPT DIAL,,
Analog Input 12913,Present value,55,,
Analog Input 12913,Units,degrees fahrenheit,,
Analog Input 12915,Object name,0454_VV-11-03:AUX TEMP,,
Analog Input 12915,Present value,55,,
Analog Input 12915,Units,degrees fahrenheit,,
Analog Input 12935,Object name,0454_VV-11-03:AIR VOLUME,,
Analog Input 12935,Present value,96,,
Analog Input 12935,Units,,,
Analog Input 13,Object name,0454_OAHU4.SAFL,,
Analog Input 13,Present value,1355.623,,
Analog Input 13,Units,cubic feet per minute,,
Analog Input 13004,Object name,0454_VV-11-01:ROOM TEMP,,
Analog Input 13004,Present value,70,,
Analog Input 13004,Units,degrees fahrenheit,,
Analog Input 13013,Object name,0454_VV-11-01:RM STPT DIAL,,
Analog Input 13013,Present value,85.5,,
Analog Input 13013,Units,degrees fahrenheit,,
Analog Input 13015,Object name,0454_VV-11-01:AUX TEMP,,
Analog Input 13015,Present value,64,,
Analog Input 13015,Units,degrees fahrenheit,,
Analog Input 13035,Object name,0454_VV-11-01:AIR VOLUME,,
Analog Input 13035,Present value,1968,,
Analog Input 13035,Units,,,
Analog Input 13104,Object name,0454_VV-11-02:ROOM TEMP,,
Analog Input 13104,Present value,72.25,,
Analog Input 13104,Units,degrees fahrenheit,,
Analog Input 13113,Object name,0454_VV-11-02:RM STPT DIAL,,
Analog Input 13113,Present value,55.25,,
Analog Input 13113,Units,degrees fahrenheit,,
Analog Input 13115,Object name,0454_VV-11-02:AUX TEMP,,
Analog Input 13115,Present value,54,,
Analog Input 13115,Units,degrees fahrenheit,,
Analog Input 13135,Object name,0454_VV-11-02:AIR VOLUME,,
Analog Input 13135,Present value,316,,
Analog Input 13135,Units,,,
Analog Input 13204,Object name,0454_FVV-11-03:ROOM TEMP,,
Analog Input 13204,Present value,69,,
Analog Input 13204,Units,degrees fahrenheit,,
Analog Input 13213,Object name,0454_FVV-11-03:RM STPT DIAL,,
Analog Input 13213,Present value,55.25,,
Analog Input 13213,Units,degrees fahrenheit,,
